task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Pathological - 2 layer pathway-informed network,2024-08-04T11:47:49,codecarbon,dab2cc3a-e418-40bb-9fd0-edacca159dee,118.84641432762146,0.00017058764893143445,1.4353643185595957e-06,22.5,7.268394295062621,2.890162467956543,0.0007427946627139997,0.00023994796973599974,9.541115736072178e-05,0.001078153789810729,Austria,AUT,,,,Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,8,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,1,1 x NVIDIA GeForce GTX 1060 with Max-Q Design,,,7.707099914550781,machine,N
Pathological - 3 layer fully connected network,2024-08-04T11:49:31,codecarbon,dab2cc3a-e418-40bb-9fd0-edacca159dee,101.6365556716919,0.00014704902279205623,1.4468171239869141e-06,22.5,7.529036127406021,2.890162467956543,0.0006352310255169913,0.00021255878115800098,8.15943674098811e-05,0.0009293841740848768,Austria,AUT,,,,Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,8,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,1,1 x NVIDIA GeForce GTX 1060 with Max-Q Design,,,7.707099914550781,machine,N
Pathological - 3 layer pathway-informed network,2024-08-04T11:51:41,codecarbon,dab2cc3a-e418-40bb-9fd0-edacca159dee,129.97445726394653,0.00019324248502915545,1.4867732044822174e-06,22.5,8.438095709791297,2.890162467956543,0.000812346123158933,0.000304646354827999,0.00010434516803672564,0.0012213376460236541,Austria,AUT,,,,Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,8,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,1,1 x NVIDIA GeForce GTX 1060 with Max-Q Design,,,7.707099914550781,machine,N
Pathological - 4 layer fully connected network,2024-08-04T11:53:07,codecarbon,dab2cc3a-e418-40bb-9fd0-edacca159dee,86.50435900688171,0.00014852290188561122,1.7169466400537222e-06,22.5,13.675319188379008,2.890162467956543,0.0005406556352973019,0.00032859776287800027,6.944603607284688e-05,0.0009386994342481525,Austria,AUT,,,,Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,8,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,1,1 x NVIDIA GeForce GTX 1060 with Max-Q Design,,,7.707099914550781,machine,N
Pathological - 4 layer pathway-informed network,2024-08-04T11:55:21,codecarbon,dab2cc3a-e418-40bb-9fd0-edacca159dee,133.22669315338135,0.00019214064225449821,1.4422093268444341e-06,22.5,7.424160117311707,2.890162467956543,0.000832671757042408,0.0002747460531299997,0.00010695593212954775,0.0012143737423019468,Austria,AUT,,,,Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,8,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,1,1 x NVIDIA GeForce GTX 1060 with Max-Q Design,,,7.707099914550781,machine,N
Multitask - 2 layer fully connected network,2024-08-04T12:06:15,codecarbon,dab2cc3a-e418-40bb-9fd0-edacca159dee,653.9481317996979,0.0,0.0,22.5,6.491377709785397,2.890162467956543,0.0,0.0,0.0,0.0,Austria,AUT,,,,Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,8,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,1,1 x NVIDIA GeForce GTX 1060 with Max-Q Design,,,7.707099914550781,machine,N
Multitask - 3 layer fully connected network,2024-08-04T12:16:12,codecarbon,dab2cc3a-e418-40bb-9fd0-edacca159dee,597.0262777805328,0.0008434567760252747,1.4127639782088976e-06,22.5,6.754233714151891,2.890162467956543,0.003731416441500185,0.001120122840542,0.00047930457042636224,0.005330843852468542,Austria,AUT,,,,Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,8,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,1,1 x NVIDIA GeForce GTX 1060 with Max-Q Design,,,7.707099914550781,machine,N
Multitask - 4 layer fully connected network,2024-08-04T12:25:39,codecarbon,dab2cc3a-e418-40bb-9fd0-edacca159dee,566.961972951889,0.0007982054779085909,1.4078638258375833e-06,22.5,6.642725854220095,2.890162467956543,0.003543518835306167,0.0010461572258139984,0.00045516901673618715,0.0050448450778563525,Austria,AUT,,,,Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,8,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,1,1 x NVIDIA GeForce GTX 1060 with Max-Q Design,,,7.707099914550781,machine,N
Ablation study 1 - 2 layer fully connected network,2024-08-04T12:34:14,codecarbon,dab2cc3a-e418-40bb-9fd0-edacca159dee,514.9249796867371,0.0007121349627699607,1.3829876679457432e-06,22.5,6.076742095495115,2.890162467956543,0.0032182849675417013,0.0008691823620120016,0.00041339198691281095,0.004500859316466502,Austria,AUT,,,,Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,8,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,1,1 x NVIDIA GeForce GTX 1060 with Max-Q Design,,,7.707099914550781,machine,N
Ablation study 1 - 3 layer fully connected network,2024-08-04T12:37:44,codecarbon,dab2cc3a-e418-40bb-9fd0-edacca159dee,210.09277248382568,0.0003126568429040709,1.4881862455399263e-06,22.5,8.470275502398193,2.890162467956543,0.0013130837917327831,0.0004943145621180006,0.00016866592863883784,0.0019760642824896146,Austria,AUT,,,,Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,8,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,1,1 x NVIDIA GeForce GTX 1060 with Max-Q Design,,,7.707099914550781,machine,N
Ablation study 1 - 4 layer fully connected network,2024-08-04T12:40:16,codecarbon,dab2cc3a-e418-40bb-9fd0-edacca159dee,151.89296174049377,0.00023951126673673814,1.5768430799344298e-06,22.5,10.487549909999656,2.890162467956543,0.0009493344172835372,0.0004424911873259982,0.00012194155000066868,0.0015137671546102127,Austria,AUT,,,,Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,8,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,1,1 x NVIDIA GeForce GTX 1060 with Max-Q Design,,,7.707099914550781,machine,N
Ablation study 2 - 2 layer randomly connected network,2024-08-05T16:48:45,codecarbon,dab2cc3a-e418-40bb-9fd0-edacca159dee,101309.44334888458,0.14794694877675854,1.4603472047655803e-06,22.5,7.836886054769086,2.890162467956543,0.6331839609608054,0.22054179004440203,0.0813335250547497,0.9350592760599572,Austria,AUT,,,,Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,8,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,1,1 x NVIDIA GeForce GTX 1060 with Max-Q Design,,,7.707099914550781,machine,N
Ablation study 2 - 3 layer randomly connected network,2024-08-06T10:02:07,codecarbon,dab2cc3a-e418-40bb-9fd0-edacca159dee,62001.51667070389,0.09481791333963258,1.5292840312774506e-06,22.5,9.40539535222549,2.890162467956543,0.3875094134986401,0.16198572792181198,0.049776219955542295,0.5992713613759943,Austria,AUT,,,,Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,8,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,1,1 x NVIDIA GeForce GTX 1060 with Max-Q Design,,,7.707099914550781,machine,N
Ablation study 2 - 4 layer randomly connected network,2024-08-06T20:43:17,codecarbon,dab2cc3a-e418-40bb-9fd0-edacca159dee,38470.52366924286,0.0,0.0,22.5,11.686281821428684,2.890162467956543,0.0,0.0,0.0,0.0,Austria,AUT,,,,Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,8,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,1,1 x NVIDIA GeForce GTX 1060 with Max-Q Design,,,7.707099914550781,machine,N
Logs & Plots,2024-08-06T20:43:24,codecarbon,dab2cc3a-e418-40bb-9fd0-edacca159dee,6.848679542541504,1.5036378701593911e-05,2.1952958993520413e-06,22.5,24.554533800371342,2.890162467956543,4.2819155752660265e-05,4.671614848394956e-05,5.498121592895089e-06,9.503342582917185e-05,Austria,AUT,,,,Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,8,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,1,1 x NVIDIA GeForce GTX 1060 with Max-Q Design,,,7.707099914550781,machine,N
SHAP Analysis,2024-08-06T20:44:41,codecarbon,dab2cc3a-e418-40bb-9fd0-edacca159dee,77.57978510856628,0.00016562948595072458,2.1349555961342036e-06,22.5,23.185566847233073,2.890162467956543,0.0004848860755561901,0.0004996484552740599,6.228251073617241e-05,0.0010468170415665057,Austria,AUT,,,,Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,8,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,1,1 x NVIDIA GeForce GTX 1060 with Max-Q Design,,,7.707099914550781,machine,N
