task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Pathological - 2 layer pathway-informed network,2024-07-30T16:31:32,codecarbon,b83e1ad5-32a5-4e9a-aa8c-84998f4c6705,81.91852712631226,0.0004007972643118307,4.892634619402461e-06,62.5,42.99486640759207,5.825808048248291,0.001422217066089318,0.0009783491160118007,0.00013256615292077997,0.0025331323350218926,Austria,AUT,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,16,11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,1,1 x NVIDIA GeForce RTX 3090,,,15.53548812866211,machine,N
Pathological - 3 layer fully connected network,2024-07-30T16:32:32,codecarbon,b83e1ad5-32a5-4e9a-aa8c-84998f4c6705,59.74244666099548,0.0002998018782814811,5.018244569073056e-06,62.5,45.84843278192565,5.825808048248291,0.001037257226804894,0.0007608786642581133,9.668201214564111e-05,0.0018948179032086537,Austria,AUT,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,16,11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,1,1 x NVIDIA GeForce RTX 3090,,,15.53548812866211,machine,N
Pathological - 3 layer pathway-informed network,2024-07-30T16:33:58,codecarbon,b83e1ad5-32a5-4e9a-aa8c-84998f4c6705,86.57902240753174,0.0004243634734353574,4.901461818306796e-06,62.5,43.19580981312229,5.825808048248291,0.0015031250400675683,0.0010388430532961568,0.00014010818828709241,0.0026820762816508192,Austria,AUT,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,16,11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,1,1 x NVIDIA GeForce RTX 3090,,,15.53548812866211,machine,N
Pathological - 4 layer fully connected network,2024-07-30T16:34:59,codecarbon,b83e1ad5-32a5-4e9a-aa8c-84998f4c6705,60.882256269454956,0.00030394665811193933,4.992369472649017e-06,62.5,45.26379382652636,5.825808048248291,0.0010570022587974848,0.0007654875568339214,9.852406430905809e-05,0.001921013879940467,Austria,AUT,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,16,11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,1,1 x NVIDIA GeForce RTX 3090,,,15.53548812866211,machine,N
Pathological - 4 layer pathway-informed network,2024-07-30T16:36:20,codecarbon,b83e1ad5-32a5-4e9a-aa8c-84998f4c6705,80.36306834220886,0.0003952354234105955,4.918122040802069e-06,62.5,43.57597392195211,5.825808048248291,0.0013952091708779313,0.0009727246670678813,0.0001300463633573893,0.002497980201303207,Austria,AUT,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,16,11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,1,1 x NVIDIA GeForce RTX 3090,,,15.53548812866211,machine,N
Multitask - 2 layer fully connected network,2024-07-30T16:41:33,codecarbon,b83e1ad5-32a5-4e9a-aa8c-84998f4c6705,313.0834813117981,0.0,0.0,62.5,38.26760282398869,5.825808048248291,0.0,0.0,0.0,0.0,Austria,AUT,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,16,11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,1,1 x NVIDIA GeForce RTX 3090,,,15.53548812866211,machine,N
Multitask - 3 layer fully connected network,2024-07-30T16:47:20,codecarbon,b83e1ad5-32a5-4e9a-aa8c-84998f4c6705,347.57912015914917,0.0016111615134407654,4.635380846784229e-06,62.5,37.142123807584966,5.825808048248291,0.006034376749561893,0.00358606064662359,0.0005624797293771258,0.010182917125562602,Austria,AUT,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,16,11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,1,1 x NVIDIA GeForce RTX 3090,,,15.53548812866211,machine,N
Multitask - 4 layer fully connected network,2024-07-30T16:52:31,codecarbon,b83e1ad5-32a5-4e9a-aa8c-84998f4c6705,310.8717427253723,0.001451641592102152,4.669584242875522e-06,62.5,37.91906623169436,5.825808048248291,0.005397160852120983,0.0032744703973524025,0.0005030827100401675,0.009174713959513553,Austria,AUT,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,16,11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,1,1 x NVIDIA GeForce RTX 3090,,,15.53548812866211,machine,N
Ablation study 1 - 2 layer fully connected network,2024-07-30T16:57:00,codecarbon,b83e1ad5-32a5-4e9a-aa8c-84998f4c6705,269.24960947036743,0.001243864355891338,4.619745480568217e-06,62.5,36.78660348688855,5.825808048248291,0.004674489957590899,0.0027513058121539924,0.0004357175210196046,0.007861513290764482,Austria,AUT,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,16,11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,1,1 x NVIDIA GeForce RTX 3090,,,15.53548812866211,machine,N
Ablation study 1 - 3 layer fully connected network,2024-07-30T16:59:20,codecarbon,b83e1ad5-32a5-4e9a-aa8c-84998f4c6705,140.10364603996277,0.000677161528294553,4.833292286345722e-06,62.5,41.645137570535276,5.825808048248291,0.002432369730538786,0.0016207237965779608,0.0002267255138165957,0.00427981904093333,Austria,AUT,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,16,11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,1,1 x NVIDIA GeForce RTX 3090,,,15.53548812866211,machine,N
Ablation study 1 - 4 layer fully connected network,2024-07-30T17:00:43,codecarbon,b83e1ad5-32a5-4e9a-aa8c-84998f4c6705,82.25420689582825,0.00043254881362450245,5.258680931280814e-06,62.5,51.32306020477587,5.825808048248291,0.0014280471454064109,0.0011726520492318926,0.00013311034906930523,0.0027338095437075827,Austria,AUT,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,16,11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,1,1 x NVIDIA GeForce RTX 3090,,,15.53548812866211,machine,N
Ablation study 2 - 2 layer randomly connected network,2024-07-31T08:57:56,codecarbon,b83e1ad5-32a5-4e9a-aa8c-84998f4c6705,57432.880727529526,0.28408291414592257,4.94634666898413e-06,62.5,44.2176292345506,5.825808048248291,0.9970985834010773,0.705429325731898,0.09294246885442568,1.795470377987401,Austria,AUT,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,16,11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,1,1 x NVIDIA GeForce RTX 3090,,,15.53548812866211,machine,N
Ablation study 2 - 3 layer randomly connected network,2024-07-31T20:40:03,codecarbon,b83e1ad5-32a5-4e9a-aa8c-84998f4c6705,42127.8775241375,0.2301769229805426,5.463767977072826e-06,62.5,55.9904378455615,5.825808048248291,0.7313867047843006,0.655210532779118,0.06817468404383269,1.4547719216072517,Austria,AUT,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,16,11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,1,1 x NVIDIA GeForce RTX 3090,,,15.53548812866211,machine,N
Ablation study 2 - 4 layer randomly connected network,2024-08-01T02:53:55,codecarbon,b83e1ad5-32a5-4e9a-aa8c-84998f4c6705,22431.392617702484,0.0,0.0,62.5,58.64756520872718,5.825808048248291,0.0,0.0,0.0,0.0,Austria,AUT,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,16,11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,1,1 x NVIDIA GeForce RTX 3090,,,15.53548812866211,machine,N
Logs & Plots,2024-08-01T02:53:58,codecarbon,b83e1ad5-32a5-4e9a-aa8c-84998f4c6705,2.88602614402771,1.0932773383043326e-05,3.7880502742641744e-06,62.5,17.82298301459139,5.825808048248291,5.013826406674582e-05,1.4289178097648403e-05,4.670239465903725e-06,6.909768163065877e-05,Austria,AUT,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,16,11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,1,1 x NVIDIA GeForce RTX 3090,,,15.53548812866211,machine,N
SHAP Analysis,2024-08-01T02:54:31,codecarbon,b83e1ad5-32a5-4e9a-aa8c-84998f4c6705,33.16974878311157,0.00021264986612590242,6.410959653088525e-06,62.5,77.53877303349427,5.825808048248291,0.0005758894110718948,0.0007144297382102316,5.367767875641416e-05,0.0013439968280390957,Austria,AUT,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,16,11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,1,1 x NVIDIA GeForce RTX 3090,,,15.53548812866211,machine,N
